,Landfill Name,Physical Address,City,State,County,Zip Code,Latitude,Longitude
2423,Charles City County SLF,8000 Chambers Road,Charles City,VA,Charles City,23030,37.43919,-77.13331
2424,Chesterfield County Northern Area LF,3200 Warbro Road,Midlothian,VA,Chesterfield,23112,37.4449,-77.6265
2425,City of Bristol Virginia Integrated Solid Waste Management Facility,2125 Shakesville Road,Bristol,VA,Bristol city,24201,36.6035,-82.1543
2426,Concord Turnpike Regional Landfill,2525 Concord Turnpike,Lynchburg,VA,Lynchburg city,24504,37.391999999999996,-79.109
2427,Corral Farm Landfill,"6438 College Street
8477 Bingham Road",Warrenton,VA,Fauquier,20187,38.6719,-77.7762
2428,Danville City SLF,Airport Road South of U.S. 58/360,Danville,VA,Danville city,24543,36.5722,-79.3444
2429,Dinwiddie County Landfill,10817 Wheelers Pond Road,Dinwiddie,VA,Dinwiddie,23841,37.12,-77.6205
2430,Franklin County SLF,"9340 Virgil H. Goode Highway
Route 220 South",Rocky Mount,VA,Franklin,24151,36.927,-79.8626
2431,Frederick County Regional Landfill,"280 Landfill Road
Route 719",Winchester,VA,Frederick,22602,39.1416,-78.0988
2432,Greene County Landfill,358 Mays Road,Stanardsville,VA,Greene,22968,38.275999999999996,-78.422
2434,Hanover 301 LF,7301 Courtland Farm Road,Hanover,VA,Hanover,23069,37.7532,-77.3564
2435,I-66 Landfill,4618 West Ox Road,Fairfax,VA,Fairfax,22030,38.852,-77.381
2436,I-95 Landfill,9850 Furnace Road,Lorton,VA,Fairfax,22079,38.68809,-77.23734
2437,Ivy Material Utilization Center,4576 Dick Woods Road,Charlottesville,VA,Albemarle,22903,38.02083,-78.6533
2438,King and Queen Landfill,1000 Iris Road,Little Plymouth,VA,King and Queen,23091,37.665,-76.77
2439,King George Landfill Inc.,10376 Bullock Drive,King George,VA,King George,22485,38.26964,-77.30596
2440,Livingston Landfill,6241 Massey Road,Spotsylvania,VA,Spotsylvania,22551,38.128,-77.706
2441,Loudoun County SLF,21101 Evergreen Mills Road,Leesburg,VA,Loudoun,20175,39.0421,-77.5813
2444,Lynchburg City LF,2525 Concord Turnpike,Lynchburg,VA,Lynchburg city,24504,37.391999999999996,-79.109
2445,Madison District LF,County Road 728 North of Route 60,Cumberland,VA,Cumberland,23040,37.515,-78.2355
2446,Maplewood Recycling & Waste Disposal,20221 Maplewood Road,Jetersville,VA,Amelia,23083,37.306999999999995,-78.0634
2447,Martinsville SLF,225 Arden Circle,Martinsville,VA,Henry,24112,36.718,-79.846
2448,Mecklenburg County LF,518 Landfill Road,Baskerville,VA,Mecklenburg,23915,36.684923,-78.318872
2449,Menchville Road Landfill,513 Oyster Point Road,Newport News,VA,Newport News city,23602,37.094599,-76.52714399999999
2450,Mid-County Landfill,555 Authority Drive,Christiansburg,VA,Montgomery,24073,37.1709,-80.4107
2451,Middle Peninsula Landfill,3714 Waste Management Way,Saluda,VA,Gloucester,23149,37.5202,-76.6201
2452,New River Resource Authority SWMF,7100 Cloyd's Mountain Road,Dublin,VA,Pulaski,24084,37.1975,-80.685
2453,Newport News City Landfill No. 2,"15110 Warwick Boulevard
550 Atkinson Way",Newport News,VA,Newport News city,23608,37.1475,-76.539
2455,Nottoway County Sanitary Landfill - Blackstone,349 Livestock Road,Blackstone,VA,Nottoway,23824,37.113699,-78.018805
2456,Old Dominion LF,2001 Charles City Road,Richmond,VA,Henrico,23231,37.508,-77.376
2457,Orange County Landfill,11530 Porter Road Route 625,Orange,VA,Orange,22960,38.245727,-78.03387099999999
2460,Pittsylvania County Landfill,382 Rainbow Lane,Dry Fork,VA,Pittsylvania,24549,36.766999999999996,-79.4135
2461,Prince Edward County SLF,"130 Trashmore Road
off Route 648, 7 mi west of Farmville",Farmville,VA,Prince Edward,23901,37.285,-78.488
2462,Prince William County Sanitary Landfill,14811 Dumfries Road,Manassas,VA,Prince William,20112,38.638000000000005,-77.422
2463,Region 2000 Regional Landfill - Livestock Road Facility,361 Livestock Road,Rustburg,VA,Campbell,24588,37.278,-79.152
2464,Richmond Landfill,2325 Charles City Road,Richmond,VA,Henrico,23231,37.5091,-77.3611
2465,Roanoke Regional Landfill,3442 Rutrough Road,Roanoke,VA,Roanoke,24014,37.24722,-79.86805600000001
2466,Rockbridge County SLF,231 Landfill Road,Buena Vista,VA,Rockbridge,24416,37.76936,-79.35802
2467,Rockingham County Landfill,2400 Grassy Creek Road,Harrisonburg,VA,Rockingham,22801,38.399,-78.8811
2468,Scott County Sanitary LF,596 Landfill Lane,Gate City,VA,Scott,24251,36.638362,-82.566805
2469,Shenandoah County LF,"349 Landfill Road
off U.S. Hwy 11",Edinburg,VA,Shenandoah,22824,38.8433,-78.5508
2470,Shoosmith SLF,11800 Lewis Road,Chester,VA,Chesterfield,23831,37.3512,-77.4956
2471,Smith Gap Regional Landfill,8484 Bradshaw Road,Salem,VA,Roanoke,24153,37.29,-80.214
2472,South Boston Sanitary LF,2411 Younger Avenue,South Boston,VA,Halifax,24592,36.718779999999995,-78.900998
2473,Springfield Road LF,10600 Fords Country Lane,Glen Allen,VA,Henrico,23060,37.67917,-77.5661
2474,SPSA Regional LF,1 Bob Foeller Drive,Suffolk,VA,Suffolk city,23434,36.759,-76.52199999999999
2475,SRPSA Butcher Creek Landfill,4803 Highway 92,Chase City,VA,Mecklenburg,23924,36.725,-78.44
2476,Stafford County LF,489 Eskimo Hill Road,Stafford,VA,Stafford,22554,38.385,-77.4125
2477,Tazewell County Landfill,245 Lynn Hollow Road,North Tazewell,VA,Tazewell,24630,37.185,-81.444
2478,Tri-City Regional Landfill,390 Industrial Drive,Petersburg,VA,Petersburg city,23803,37.24,-77.378
2479,Virginia Beach Landfill No. 2,1989 Jake Sears Road,Virginia Beach,VA,Virginia Beach city,23464,36.785,-76.205
2483,Brattleboro,327 Old Ferry Road,Brattleboro,VT,Windham,5301,42.8948,-72.5401
2487,Moretown Landfill Inc.,19 Kaiser Drive,Waterbury,VT,Washington,5676,44.31100000000001,-72.7025
2488,NEWSVT Landfill,"21 Landfill Lane
off Airport Road",Newport,VT,Orleans,5855,44.908583,-72.2215
2496,Cathcart LF,"8915 Cathcart Way
off Highway 9, S of Snohomish",Snohomish,WA,Snohomish,98296,47.870676,-122.12191599999998
2497,Cedar Hills Regional LF,16645 228th Avenue SE,Maple Valley,WA,King,98038,47.442,-122.06
2499,Centralia LF,1313 S. Tower Avenue,Centralia,WA,Lewis,98531,46.696669,-122.9633
2500,Cheyne Road LF,4970 Cheyne Road,Zillah,WA,Yakima,98953,46.478451,-120.268898
2501,Cowlitz County Headquarters Landfill,3434 South Silver Lake Road,Castle Rock,WA,Cowlitz,98611,46.248725,-122.77810900000001
2502,Cowlitz County Landfill,85 Tennant Way,Longview,WA,Cowlitz,98632,46.108000000000004,-122.905
2505,Ephrata LF,"3803 Neva Lake Road, NW
off Highway 28",Ephrata,WA,Grant,98823,47.27,-119.574
2506,Fort Lewis LF #5,Dupont-Steilacoom Road,Joint Base Lewis-McChord,WA,Pierce,98433,47.118,-122.631
2508,Greater Wenatchee LF,191 Webb Road S,East Wenatchee,WA,Douglas,98802,47.4042,-120.1704
2510,Hidden Valley LF,17925 Meridian Street East,Puyallup,WA,Pierce,98375,47.0943,-122.2937
2511,Hobart LF,24041 276th Avenue SE,Maple Valley,WA,King,98038,47.3885,-121.97399999999999
2513,Horn Rapids Landfill,3102 Twin Bridges Road,Richland,WA,Benton,99352,46.346000000000004,-119.346
2514,Inman LF,920 Inman Lane,Bow,WA,Skagit,98232,48.51,-122.4336
2515,Kent Highlands LF,23076 Military Road South,Kent,WA,King,98032,47.393,-122.2882
2516,Land Recovery Landfill,30919 Meridian Street East,Graham,WA,Pierce,98338,46.971000000000004,-122.2905
2517,Leichner LF,9411 NE 94th Avenue,Vancouver,WA,Clark,98662,45.6903,-122.5758
2522,Northside LF,5502 W. Nine Mile Road,Spokane,WA,Spokane,99208,47.727,-117.4897
2527,"Olympic View Sanitary LF, Inc. (OVSL)",10015 SW Barney White Road,Port Orchard,WA,Kitsap,98367,47.501000000000005,-122.78200000000001
2530,Port Angeles SLF,3501 W 18th Street,Port Angeles,WA,Clallam,98362,48.13162,-123.51768999999999
2531,Purdy LF,14515 54th Avenue NW,Gig Harbor,WA,Pierce,98335,47.391000000000005,-122.611
2532,Rainbow Valley LF,Highway 105,Raymond,WA,Pacific,98577,46.71,-123.823
2533,Roosevelt Regional MSW Landfill,500 Roosevelt Grade Road,Roosevelt,WA,Klickitat,99356,45.805,-120.17399999999999
2539,Sudbury Road LF,414 Landfill Road,Walla Walla,WA,Walla Walla,99362,46.075,-118.41
2540,Tacoma City Solid Waste Facility,3510 S. Mullen Street,Tacoma,WA,Pierce,98409,47.23,-122.499
2541,Terrace Heights LF,7151 Roza Hill Drive,Yakima,WA,Yakima,98901,46.60617,-120.4052
2542,Thurston County Waste and Recovery Center,2418 Hogum Bay Road N.E.,Olympia,WA,Thurston,98516,47.0671,-122.7646
2543,Vashon LF,18910 Westside Highway SW,Vashon Island,WA,King,98038,47.4368,-122.5
2546,Adams County Resource Recovery LF,1420 State Road 21,Friendship,WI,Adams,53934,44.02489,-89.84648
2547,Advanced Disposal Cranberry Creek Landfill LLC,2510 Engel Road,Wisconsin Rapids,WI,Wood,54495,44.40918,-89.85481999999999
2548,Advanced Disposal Emerald Park Landfill LLC,W124 S10629 S 124th Street,Muskego,WI,Waukesha,53150,42.851000000000006,-88.0745
2549,Advanced Disposal Glacier Ridge Landfill LLC,N7296 County Road V,Horicon,WI,Dodge,53032,43.465,-88.555
2550,Advanced Disposal Hickory Meadows Landfill LLC,W3105 Schneider Road,Hilbert,WI,Calumet,54129,44.105,-88.19200000000001
2551,Advanced Disposal Mallard Ridge Landfill Inc.,W8470 State Road 11,Delavan,WI,Walworth,53115,42.64412,-88.7218
2552,Advanced Disposal Seven Mile Creek Landfill,8001 Olson Drive,Eau Claire,WI,Eau Claire,54703,44.8375,-91.3672
2553,Brown County East LF,3800 Heritage Road,De Pere,WI,Brown,54115,44.412,-88.014
2554,Brown County West LF,3734 Mason Street,Oneida,WI,Brown,54155,44.5122,-88.1545
2555,Dane County LF #1-Verona,6718 E. Verona Avenue,Verona,WI,Dane,53593,42.9928,-89.5261
2556,Dane County LF #2-Rodefeld,7102 U.S. Highway 12 & 18,Madison,WI,Dane,53718,43.045,-89.25399999999999
2557,Deer Track Park Landfill,N6756 Waldmann Lane,Watertown,WI,Jefferson,53094,43.0869,-88.7566
2565,Janesville City/Rock County Landfill,525 Blackbridge Road,Janesville,WI,Rock,53545,42.7046,-89.0218
2566,Kestrel Hawk Landfill,1989 Oakes Road,Racine,WI,Racine,53406,42.7074,-87.8703
2567,Kewaunee County Solid Waste Balefill,E3726 County Road L,Kewaunee,WI,Kewaunee,54216,44.4323,-87.5628
2568,La Crosse County Landfill,"3200 Berlin Drive
6500 State Road 16",La Crosse,WI,La Crosse,54601,43.878,-91.15700000000001
2569,Lake Area Landfill,W5987 County Hwy D,Sarona,WI,Washburn,54870,45.68899999999999,-91.831
2570,Lincoln County SLF,N4570 Landfill Lane,Merrill,WI,Lincoln,54452,45.2852,-89.6058
2571,Marathon County Landfill,18500 East Highway 29,Ringle,WI,Marathon,54471,44.890439,-89.384867
2572,Marinette/Oconto County LF,N7785 Shaffer Road,Marinette,WI,Marinette,54114,45.24771,-88.0897
2574,Metro RDF,10712 South 124th Street,Franklin,WI,Milwaukee,53132,42.849509999999995,-88.065
2576,Moccasin Mike SLF,"15 Moccasin Mike Road
off Hwy 53 and 2",Superior,WI,Douglas,54880,46.67100000000001,-91.9665
2579,Orchard Ridge RDF,W124 N9355 Boundary Road,Menomonee Falls,WI,Waukesha,53051,43.188,-88.0765
2580,Outagamie County LF,1419 Holland Road,Appleton,WI,Outagamie,54911,44.2872,-88.3487
2581,Pheasant Run Recycling and Disposal Facility,19414 60th Street,Bristol,WI,Kenosha,53104,42.58275,-88.04383
2583,Portage County Sanitary Landfill,1430 County Road QQ,Custer,WI,Portage,54423,44.5173,-89.3955
2586,Ridgeview RDF,6207 Hempton Lake Road,Whitelaw,WI,Manitowoc,54247,44.1725,-87.8418
2587,Ridgeville Site I,20448 Junco Road,Norwalk,WI,Monroe,54648,43.873000000000005,-90.583
2588,Ridgeville Site II,20448 Junco Road,Norwalk,WI,Monroe,56648,43.873000000000005,-90.57799999999999
2591,Sauk County SLF,E8795B Evergreen Lane,Baraboo,WI,Sauk,53913,43.5184,-89.87799999999999
2592,Sheboygan Falls City LF,111 Hamann Drive,Sheboygan Falls,WI,Sheboygan,53085,43.7435,-87.8209
2593,Timberline Trail Recycling & Disposal Facility,N4581 N. Hutchinson Road,Weyerhaeuser,WI,Rusk,54895,45.45417,-91.35838000000001
2594,Troy Area Landfill,N. 7617 Highway 120,East Troy,WI,Walworth,53120,42.766345,-88.40651
2596,Valley Trail Recycling & Disposal Facility,N9101 Willard Road,Berlin,WI,Green Lake,54923,43.95983,-88.90632
2599,Winnebago County Snell Road Landfill,"3390 Walter Street
1955 West Snell Road",Oshkosh,WI,Winnebago,54904,44.06,-88.565
2600,Winnebago County Sunnyview Landfill,"100 W County Road Y
Off Highway 76",Oshkosh,WI,Winnebago,54901,44.082609999999995,-88.54592
2601,WMWI Stone Ridge Recycling and Disposal,S82 W21595 Wauer Lane,Muskego,WI,Waukesha,53150,42.893674,-88.18643
2603,Brooke County LF (Subtitle D),"1118 Petrillo Road
Harmon Creek Road RD2 Box 410",Colliers,WV,Brooke,26035,40.38123,-80.57751
2604,City of Charleston Landfill,741 South Park Road,Charleston,WV,Kanawha,25304,38.31279,-81.61854
2605,Copper Ridge LF,Route 7,Capels,WV,McDowell,24801,37.48,-81.6
2606,Disposal Service Inc. Landfill,1100 State Route 34 South,Hurricane,WV,Putnam,25526,38.405,-82.01899999999999
2607,Elkins Landfill,"Rte 151 towards Buckhannon
2 miles from Route 33",Elkins,WV,Randolph,26241,38.929,-79.98655
2608,Greenbrier County Landfill,Harper Road PO Box 1664,Lewisburg,WV,Greenbrier,24901,37.8276,-80.3793
2609,Ham Sanitary Landfill Inc.,1 Bozoo Road,Peterstown,WV,Monroe,24963,37.43632,-80.76918
2610,LCS Services Landfill,911 Allensville Road,Hedgesville,WV,Berkeley,25427,39.57302,-77.98788
2611,Meadowfill Landfill,1488 Dawson Drive,Bridgeport,WV,Harrison,26330,39.338609999999996,-80.25694
2612,Mercer County Landfill,"749 Frontage Road
Shelter Road",Princeton,WV,Mercer,24740,37.331990000000005,-81.12496999999999
2614,Northwestern Landfill,"510 E. Dry Run Road
off Highway 50",Parkersburg,WV,Wood,26104,39.24923,-81.49249
2616,Pocahontas County Landfill,Route 28 about 5 miles from Route 39,Dunmore,WV,Pocahontas,24954,38.279,-79.9365
2617,Raleigh County SWA Landfill,"200 Fernandez Drive
918 Ragland Road",Beckley,WV,Raleigh,25801,37.8167,-81.1631
2618,S & S Grading Inc. Landfill,4439 Good Hope Pike,Clarksburg,WV,Harrison,26301,39.22057,-80.40831999999999
2619,Short Creek Sanitary Landfill,258 North Fork Road,Wheeling,WV,Ohio,26003,40.148309999999995,-80.64112
2620,Sycamore Landfill,4301 Sycamore Ridge Road,Hurricane,WV,Putnam,25526,38.3995,-82.025
2621,Tucker County Landfill,284 Landfill Road,Davis,WV,Tucker,26260,39.141999999999996,-79.47
2623,Wetzel County Landfill,"Cider Run Route 1, Box 156A",New Martinsville,WV,Wetzel,26155,39.60502,-80.85639
2624,Campbell County Landfill No.2,909 Westover County Road,Gillette,WY,Campbell,82718,44.281000000000006,-105.512
2625,Casper Balefill,1886 N. Station Road,Evansville,WY,Natrona,82636,42.873191999999996,-106.283097
2626,Cheyenne Landfill,1461 Happy Jack Road,Cheyenne,WY,Laramie,82009,41.135,-105.005
2627,Eastern Laramie County SWDD,4990 CR 216,Burns,WY,Laramie,82053,41.230852,-104.336488
2628,Sheridan Existing Landfill,83 East Ridge Road,Sheridan,WY,Sheridan,82801,44.804334999999995,-106.923406
