,Landfill Name,State,County,Average Annual Count
627,American Environmental Landfill,OK,Osage,233
628,Broken Arrow LF,OK,Wagoner,366
629,Cherokee Nation SLF,OK,Adair,112
630,City of Okmulgee Landfill,OK,Okmulgee,246
631,City of Sallisaw Solid Waste Disposal Facility,OK,Sequoyah,236
632,East Oak SLF,OK,Oklahoma,3759
633,Great Plains Landfill,OK,Grady,259
634,Lawton LF,OK,Comanche,525
635,Muskogee Community LF,OK,Muskogee,422
636,Newcastle Landfill,OK,McClain,215
637,Oklahoma Environmental Management Authority (OEMA) Landfill,OK,Canadian,583
638,Perkins,OK,Payne,292
639,Ponca City Landfill,OK,Kay,275
640,Quarry LF,OK,Tulsa,3284
641,Red Carpet Landfill Inc.,OK,Major,45
642,Southern OK Regional Disposal LF,OK,Carter,280
643,Coffin Butte LF,OR,Benton,371
644,Columbia Ridge LF,OR,Gilliam,14
645,Crook County Landfill,OR,Crook,175
646,Finley Buttes Regional Landfill,OR,Morrow,57
647,Klamath Falls LF,OR,Klamath,421
648,Knott Landfill,OR,Deschutes,1064
649,"Riverbend Landfill Company, Inc.",OR,Yamhill,555
650,Rossman's Landfill,OR,Clackamas,2336
651,Short Mountain LF,OR,Lane,1846
652,St. Johns LF,OR,Multnomah,3743
653,Wasco County Landfill,OR,Wasco,157
654,Advanced Disposal Greentree Landfill,PA,Elk,235
655,Advanced Disposal Services Sandy Run Landfill,PA,Bedford,346
656,Alliance SLF,PA,Lackawanna,1381
657,Bradford County Landfill,PA,Bradford,417
658,Commonwealth Environmental Systems (CES) LF,PA,Schuylkill,1030
659,Conestoga LF,PA,Berks,2491
660,County Environmental Landfill of Clarion,PA,Clarion,242
661,Dauphin Meadows LF,PA,Dauphin,1585
662,Evergreen Landfill,PA,Indiana,480
663,Fairless Landfill,PA,Bucks,4081
664,Greater Lebanon Refuse Authority LF,PA,Lebanon,855
665,Greenridge Reclamation Landfill,PA,Westmoreland,2609
666,Imperial Sanitary Landfill,PA,Allegheny,7927
667,J.J. Brunner LF,PA,Beaver,1181
668,Laurel Highlands LF,PA,Cambria,952
669,Lycoming County Landfill,PA,Lycoming,754
670,McKean County LF,PA,McKean,268
671,Mifflin County Solid Waste Authority LF,PA,Mifflin,311
672,SECCRA Community Landfill,PA,Chester,2933
673,Central LF,RI,Providence,3359
674,Tiverton Landfill #2,RI,Newport,555
675,Anderson Regional Landfill,SC,Anderson,1152
676,Bees Ferry Road Subtitle D LF,SC,Charleston,2044
677,Berkeley County Subtitle D LF,SC,Berkeley,960
678,Blackberry Valley Landfill,SC,Greenville,2628
679,Croft Landfill,SC,Spartanburg,1675
680,Georgetown County Subtitle D LF,SC,Georgetown,467
681,Greenwood County Landfills,SC,Greenwood,381
682,Highway 321 Lexington County Landfill,SC,Lexington,1466
683,Horry County SWA Landfill,SC,Horry,2068
684,Kershaw County Landfill,SC,Kershaw,365
685,Langley Landfill,SC,Aiken,891
686,Seneca MSWLF,SC,Oconee,511
687,Williamsburg County MSWLF,SC,Williamsburg,210
688,Brookings Regional Landfill,SD,Brookings,147
689,City of Mitchell Landfill,SD,Davison,124
690,Pierre Landfill,SD,Hughes,100
691,Rapid City Landfill,SD,Pennington,551
692,Sioux Falls Regional Sanitary Landfill (SFRSL),SD,Minnehaha,985
693,Tri-County Landfill,SD,Brule,37
694,Watertown Regional Landfill,SD,Codington,166
695,Bolivar-Hardeman County LF,TN,Hardeman,168
696,Bradley County LF,TN,Bradley,567
697,Carter Valley Landfill,TN,Hawkins,388
698,Cheatham County LF,TN,Cheatham,229
699,Cocke County LF,TN,Cocke,241
700,Dyersburg City LF,TN,Dyer,214
701,Gratio LF,TN,Obion,210
702,Lakeway Sanitation & Recycling Class I,TN,Hamblen,384
703,Matlock Bend Landfill,TN,Loudon,412
704,McMinn County LF,TN,McMinn,320
705,Milan City LF,TN,Gibson,301
706,Pickett County LF,TN,Pickett,32
707,Pulaski City LF,TN,Giles,178
708,Rhea County LF,TN,Rhea,218
709,Roane County Solid Waste Authority,TN,Roane,351
710,"Sevier Solid Waste, Incorporated",TN,Sevier,635
711,Smith County LF,TN,Smith,106
712,Williamson County LF,TN,Williamson,973
713,121 Regional Disposal Facility,TX,Collin,3374
714,Altair Disposal Services LLC,TX,Colorado,127
715,Angelina County Waste Management Center,TX,Angelina,465
716,Arlington LF,TX,Tarrant,8096
717,Atascocita RDF,TX,Harris,15735
718,Austin Community RDF,TX,Travis,3889
719,Baytown Landfill,TX,Chambers,168
720,Bell County/Sparks LF,TX,Bell,1403
721,Blue Ridge LF,TX,Fort Bend,2451
722,Brownsville Municipal Landfill,TX,Cameron,1511
723,C&T Regional Landfill,TX,Hidalgo,2357
724,Caliche Canyon LF,TX,Lubbock,1185
725,Camelot Landfill,TX,Denton,2746
726,Cefe Valenzuela Landfill,TX,Nueces,1471
727,Charles M Hinton Jr Regional Landfill,TX,Dallas,9700
728,Charter Waste Landfill,TX,Ector,562
729,City of Amarillo Landfill,TX,Potter,543
730,City of Corsicana LF,TX,Navarro,255
731,City of Kingsville Landfill,TX,Kleberg,136
732,City of Laredo LF,TX,Webb,685
733,City of Nacogdoches Landfill,TX,Nacogdoches,252
734,City of Pampa LF,TX,Gray,114
735,City of Perryton Landfill,TX,Ochiltree,34
736,City of Snyder Landfill,TX,Scurry,76
737,City of Sweetwater LF,TX,Nolan,86
738,City of Victoria Landfill,TX,Victoria,453
739,City of Waco LF,TX,McLennan,1081
740,Coastal Plains RDF,TX,Galveston,1380
741,Covel Gardens RDF,TX,Bexar,7118
742,CSC Disposal and Landfill,TX,Ellis,743
743,Fort Hood Landfill,TX,Coryell,294
744,Hillside Landfill,TX,Grayson,754
745,IESI East Texas Regional Landfill,TX,Rusk,291
746,IESI Weatherford Landfill,TX,Parker,679
747,Itasca Landfill,TX,Hill,215
748,Kerrville Landfill,TX,Kerr,334
749,Maloy Landfill,TX,Hunt,498
750,Mesquite Creek LF,TX,Comal,660
751,New Boston Landfill,TX,Bowie,461
752,Pine Hill LF,TX,Gregg,674
753,Pleasant Oaks Landfill,TX,Titus,131
754,Rock Prairie Road Landfill,TX,Brazos,581
755,San Angelo Landfill,TX,Tom Green,556
756,Seabreeze Environmental Landfill,TX,Brazoria,1384
757,Sinton Landfill,TX,San Patricio,305
758,Southwest Landfill,TX,Randall,614
759,Twin Oaks Landfill,TX,Grimes,139
760,Bayview LF,UT,Utah,1452
761,Bountiful Sanitary LF,UT,Davis,1136
762,Carbon County LF,UT,Carbon,102
763,City of Logan Sanitary Landfill,UT,Cache,347
764,Duchesne County LF,UT,Duchesne,86
765,Emery County LF,UT,Emery,48
766,Iron County/ Armstrong Pit LF,UT,Iron,196
767,Juab Rural Development Agency Landfill,UT,Juab,34
768,Leekay Landfill,UT,Salt Lake,3989
769,Manila City LF,UT,Daggett,8
770,Millard County LF,UT,Millard,57
771,Rich County LF,UT,Rich,8
772,Tekoi Landfill,UT,Tooele,224
773,Uintah County/Vernal City LF,UT,Uintah,123
774,Weber County LF,UT,Weber,893
775,Amherst County Landfill,VA,Amherst,194
776,Augusta County Service Authority Landfill,VA,Augusta,495
778,Botetourt County Landfill,VA,Botetourt,209
779,Campbell County Landfill,VA,Campbell,317
781,Chesterfield County Northern Area LF,VA,Chesterfield,1688
784,Corral Farm Landfill,VA,Fauquier,349
786,Dinwiddie County Landfill,VA,Dinwiddie,161
787,Hanover 301 LF,VA,Hanover,608
788,I-66 Landfill,VA,Fairfax,4084
789,I-66 Landfill,VA,Fairfax,100
790,Ivy Material Utilization Center,VA,Albemarle,544
791,King and Queen Landfill,VA,King and Queen,50
792,King George Landfill Inc.,VA,King George,113
793,Livingston Landfill,VA,Spotsylvania,626
794,Loudoun County SLF,VA,Loudoun,1190
795,Maplewood Recycling & Waste Disposal,VA,Amelia,81
797,Nottoway County Sanitary Landfill - Blackstone,VA,Nottoway,102
798,Old Dominion LF,VA,Henrico,1648
799,Pittsylvania County Landfill,VA,Pittsylvania,353
800,Prince Edward County SLF,VA,Prince Edward,130
801,Prince William County Sanitary Landfill,VA,Prince William,1334
802,Roanoke Regional Landfill,VA,Roanoke,585
803,Roanoke Regional Landfill,VA,Roanoke,559
804,Rockbridge County SLF,VA,Rockbridge,159
805,Shenandoah County LF,VA,Shenandoah,266
806,South Boston Sanitary LF,VA,Halifax,245
808,Stafford County LF,VA,Stafford,567
811,Cathcart LF,WA,Snohomish,3990
812,Cedar Hills Regional LF,WA,King,9969
813,Cheyne Road LF,WA,Yakima,979
814,Cowlitz County Headquarters Landfill,WA,Cowlitz,617
815,Fort Lewis LF #5,WA,Pierce,4434
816,Inman LF,WA,Skagit,794
817,Northside LF,WA,Spokane,2293
818,"Olympic View Sanitary LF, Inc. (OVSL)",WA,Kitsap,1615
819,Port Angeles SLF,WA,Clallam,651
820,Rainbow Valley LF,WA,Pacific,161
821,Roosevelt Regional MSW Landfill,WA,Klickitat,135
822,Sudbury Road LF,WA,Walla Walla,317
823,Thurston County Waste and Recovery Center,WA,Thurston,1573
824,Advanced Disposal Emerald Park Landfill LLC,WI,Waukesha,2499
825,Advanced Disposal Hickory Meadows Landfill LLC,WI,Calumet,239
826,Advanced Disposal Mallard Ridge Landfill Inc.,WI,Walworth,621
828,Dane County LF #1-Verona,WI,Dane,2399
829,Janesville City/Rock County Landfill,WI,Rock,944
830,Kestrel Hawk Landfill,WI,Racine,1209
831,Kewaunee County Solid Waste Balefill,WI,Kewaunee,123
833,Lake Area Landfill,WI,Washburn,128
834,Marathon County Landfill,WI,Marathon,770
835,Marinette/Oconto County LF,WI,Marinette,317
836,Metro RDF,WI,Milwaukee,4918
837,Outagamie County LF,WI,Outagamie,929
838,Pheasant Run Recycling and Disposal Facility,WI,Kenosha,900
839,Ridgeview RDF,WI,Manitowoc,529
840,Sauk County SLF,WI,Sauk,373
841,Sheboygan Falls City LF,WI,Sheboygan,687
842,Valley Trail Recycling & Disposal Facility,WI,Green Lake,111
843,Brooke County LF (Subtitle D),WV,Brooke,163
844,City of Charleston Landfill,WV,Kanawha,1275
845,Greenbrier County Landfill,WV,Greenbrier,262
846,Pocahontas County Landfill,WV,Pocahontas,63
847,Raleigh County SWA Landfill,WV,Raleigh,510
848,Tucker County Landfill,WV,Tucker,59
849,Wetzel County Landfill,WV,Wetzel,117
850,Casper Balefill,WY,Natrona,382
851,Cheyenne Landfill,WY,Laramie,491
852,Sheridan Existing Landfill,WY,Sheridan,165
