State,, FIPS,"Age-Adjusted Incidence Rate(†) - cases per 100,000",Lower 95% Confidence Interval,Upper 95% Confidence Interval,Average Annual Count,Recent Trend,Recent 5-Year Trend (‡) in Incidence Rates,Lower 95% Confidence Interval,Upper 95% Confidence Interval
"Providence County, Rhode Island(6,8)",,44007,463.8,456.6,471.1,3359,falling,-3.5,-6.8,-0.1
"Tulsa County, Oklahoma(6,8)",,40143,481.4,473.9,488.9,3284,stable,0.6,-0.8,1.9
"Baltimore City, Maryland(6,8)",,24510,489.5,481.8,497.3,3263,stable,-0.5,-0.9,0
"DeKalb County, Georgia(7,8)",,13089,451.2,444.1,458.5,3249,falling,-1.2,-1.8,-0.6
"Plymouth County, Massachusetts(7,8)",,25023,486.3,478.6,494.2,3187,falling,-1.1,-1.5,-0.7
"Suffolk County, Massachusetts(7,8)",,25025,428.9,422.1,435.8,3178,falling,-2.9,-3.6,-2.3
"Montgomery County, Ohio(6,8)",,39113,467.7,460.2,475.3,3146,stable,0.4,-1.1,1.9
"Kern County, California(7,8)",,6029,404.5,398,411,3137,falling,-0.9,-1.3,-0.6
"Camden County, New Jersey(7,8)",,34007,524.6,516.2,533.1,3123,falling,-0.4,-0.7,-0.1
"Summit County, Ohio(6,8)",,39153,452.6,445.3,460,3120,falling,-0.5,-0.8,-0.1
"El Paso County, Texas(6,8)",,48141,394.3,388,400.6,3104,falling,-0.6,-0.9,-0.2
"New Castle County, Delaware(6,8)",,10003,484,476.2,491.9,3073,falling,-0.7,-1,-0.4
"Lancaster County, Pennsylvania(6,8)",,42071,459.8,452.3,467.4,3054,falling,-0.5,-0.8,-0.2
"Marion County, Florida(6,8)",,12083,514,505,523.1,3044,falling,-0.6,-1.1,-0.1
"Bristol County, Massachusetts(7,8)",,25005,437.6,430.5,444.9,3030,falling,-2.6,-3.9,-1.3
"Morris County, New Jersey(7,8)",,34027,487.9,479.9,495.9,3030,falling,-0.9,-1.3,-0.5
"Bernalillo County, New Mexico(7,8)",,35001,389.7,383.4,396.2,3018,falling,-0.8,-1,-0.6
"Davidson County, Tennessee(6,8)",,47037,449.9,442.6,457.4,3013,stable,-0.4,-1.9,1.1
"Richmond County, New York(7,8)",,36085,528.5,519.8,537.3,2965,stable,0,-0.3,0.2
"San Joaquin County, California(7,8)",,6077,413.5,406.8,420.4,2964,stable,-0.4,-1.1,0.4
"Onondaga County, New York(7,8)",,36067,517.3,508.8,526,2962,falling,-1,-1.5,-0.6
"Burlington County, New Jersey(7,8)",,34005,527.8,519.1,536.6,2956,falling,-0.4,-0.7,-0.1
"Anne Arundel County, Maryland(6,8)",,24003,462.3,454.7,470,2937,falling,-0.7,-1.2,-0.2
